Transaction_Number,Office_FilerType,Date_Received_Filed,Transaction_Date,Ticker,Asset_Name,Transaction_Type,Amount
1,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,RIO,Rio Tinto Plc,Sale (Full),8000.5
2,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,FPI,Farmland Partners Inc. Common Stock,Purchase,8000.5
3,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,RIO,Rio Tinto Plc,Sale (Full),8000.5
4,"Carper, Thomas R. (Senator)",02-02-2023,18-01-2023,FPI,Farmland Partners Inc. Common Stock,Purchase,8000.5
5,"Carper, Thomas R. (Senator)",02-02-2023,12-01-2023,AQN,Algonquin Power and Utilities Corp,Sale (Full),8000.5
6,"Carper, Thomas R. (Senator)",02-02-2023,12-01-2023,AQN,Algonquin Power and Utilities Corp,Sale (Full),8000.5
7,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AMT,American Tower Corporation (REIT) Common Stock,Purchase,8000.5
8,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,ATKR,Atkore Inc. Common Stock,Purchase,8000.5
9,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,HOLX,"Hologic, Inc. - Common Stock",Sale (Full),8000.5
10,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BHP,BHP Group Limited American Depositary Shares (Each,Purchase,8000.5
11,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,RMD,ResMed Inc. Common Stock,Sale (Full),8000.5
12,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CVS,CVS Health Corporation Common Stock,Sale (Partial),8000.5
13,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,TU,Telus Corporation Ordinary Shares,Sale (Full),8000.5
14,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,DLR,"Digital Realty Trust, Inc. Common Stock",Purchase,8000.5
15,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AXS,Axis Capital Holdings Limited Common Stock,Sale (Full),8000.5
16,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CME,CME Group Inc. - Class A Common Stock,Purchase,8000.5
17,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada),Purchase,8000.5
18,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BSM,"Black Stone Minerals, L.P. Common units representi",Purchase,8000.5
19,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,FLNG,FLEX LNG Ltd. Ordinary Shares,Purchase,8000.5
20,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,EQNR,Equinor ASA,Purchase,8000.5
21,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,MCD,McDonald's Corporation Common Stock,Sale (Full),8000.5
22,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AMT,American Tower Corporation (REIT) Common Stock,Purchase,8000.5
23,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,ATKR,Atkore Inc. Common Stock,Purchase,8000.5
24,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,HOLX,"Hologic, Inc. - Common Stock",Sale (Full),8000.5
25,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BHP,BHP Group Limited American Depositary Shares (Each,Purchase,8000.5
26,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,RMD,ResMed Inc. Common Stock,Sale (Full),8000.5
27,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CVS,CVS Health Corporation Common Stock,Sale (Partial),8000.5
28,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,TU,Telus Corporation Ordinary Shares,Sale (Full),8000.5
29,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,DLR,"Digital Realty Trust, Inc. Common Stock",Purchase,8000.5
30,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,AXS,Axis Capital Holdings Limited Common Stock,Sale (Full),8000.5
31,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,CME,CME Group Inc. - Class A Common Stock,Purchase,8000.5
32,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada),Purchase,8000.5
33,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,BSM,"Black Stone Minerals, L.P. Common units representi",Purchase,8000.5
34,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,FLNG,FLEX LNG Ltd. Ordinary Shares,Purchase,8000.5
35,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,EQNR,Equinor ASA,Purchase,8000.5
36,"Carper, Thomas R. (Senator)",02-02-2023,11-01-2023,MCD,McDonald's Corporation Common Stock,Sale (Full),8000.5
37,"Carper, Thomas R. (Senator)",02-02-2023,04-01-2023,MAXR,Maxar Technologies Inc,Sale (Full),8000.5
38,"Carper, Thomas R. (Senator)",02-02-2023,04-01-2023,MGM,MGM Resorts International Common Stock,Purchase,8000.5
39,"Carper, Thomas R. (Senator)",02-02-2023,04-01-2023,MAXR,Maxar Technologies Inc,Sale (Full),8000.5
